ID Geography,Geography,Food Environment Index (2014),Food Environment Index (2015),Food Environment Index (2016),Food Environment Index (2017),Food Environment Index (2018)
"05000US38055","McLean County, ND",8.402999877929688,8.199999809265137,8,7.900000095367432,8.199999809265137
"05000US31065","Furnas County, NE",6.835999965667725,6.400000095367432,6.099999904632568,6.099999904632568,7.400000095367432
"05000US06035","Lassen County, CA",4.625,4.300000190734863,4.199999809265137,4.300000190734863,7.199999809265137
"05000US54035","Jackson County, WV",7.789999961853027,7.599999904632568,7.5,7.5,7.800000190734863
"05000US31063","Frontier County, NE",5.263999938964844,4.900000095367432,4.5,4.400000095367432,5.599999904632568
"05000US38057","Mercer County, ND",9.454999923706055,9.399999618530273,9.399999618530273,9.300000190734863,9.5
"05000US06037","Los Angeles County, CA",7.454999923706055,7.400000095367432,7.800000190734863,7.900000095367432,8.399999618530273
"05000US54033","Harrison County, WV",7.9039998054504395,7.599999904632568,7.599999904632568,7.599999904632568,7.900000095367432
"05000US31061","Franklin County, NE",7.0960001945495605,6.800000190734863,6.5,6.5,7.300000190734863
"05000US06039","Madera County, CA",6.76200008392334,6.800000190734863,7.300000190734863,7.400000095367432,7.699999809265137
"05000US38059","Morton County, ND",9.347999572753906,9.100000381469727,9.100000381469727,8.899999618530273,9.100000381469727
"05000US31059","Fillmore County, NE",8.354000091552734,8.100000381469727,7.800000190734863,7.900000095367432,8.199999809265137
"05000US06041","Marin County, CA",8.67300033569336,8.5,8.300000190734863,8.300000190734863,8.5
"05000US54031","Hardy County, WV",6.834000110626221,6.5,6.5,6.300000190734863,7.099999904632568
"05000US31057","Dundy County, NE",8.022000312805176,7.599999904632568,7.400000095367432,7.400000095367432,7.900000095367432
"05000US38061","Mountrail County, ND",9.602999687194824,9.600000381469727,9.5,9.399999618530273,9.399999618530273
"05000US06043","Mariposa County, CA",7.566999912261963,7.199999809265137,6.900000095367432,6.900000095367432,7.300000190734863
"05000US54029","Hancock County, WV",7.044000148773193,7,6.900000095367432,6.900000095367432,7.300000190734863
"05000US31055","Douglas County, NE",8.031999588012695,7.699999809265137,7.699999809265137,7.599999904632568,8
"05000US06045","Mendocino County, CA",7.245999813079834,6.800000190734863,6.800000190734863,6.900000095367432,7.400000095367432
"05000US38063","Nelson County, ND",7.181000232696533,6.900000095367432,6.800000190734863,6.599999904632568,7.199999809265137
"05000US31053","Dodge County, NE",7.934999942779541,7.699999809265137,7.599999904632568,7.599999904632568,7.900000095367432
"05000US06047","Merced County, CA",6.315000057220459,6.300000190734863,6.900000095367432,7.099999904632568,7.599999904632568
"05000US54027","Hampshire County, WV",7.019999980926514,6.5,6.300000190734863,6.199999809265137,6.300000190734863
"05000US31051","Dixon County, NE",7.783999919891357,7.400000095367432,7.300000190734863,7.400000095367432,7.900000095367432
"05000US38065","Oliver County, ND",7.96999979019165,7.800000190734863,7.900000095367432,7.599999904632568,8
"05000US06049","Modoc County, CA",5.96999979019165,5.800000190734863,5.5,5.699999809265137,6.699999809265137
"05000US54025","Greenbrier County, WV",7.803999900817871,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432
"05000US31049","Deuel County, NE",8.329999923706055,8,7.699999809265137,7.900000095367432,7.900000095367432
"05000US06051","Mono County, CA",7.495999813079834,7.199999809265137,7.300000190734863,7.599999904632568,7.5
"05000US38067","Pembina County, ND",8.435999870300293,8.300000190734863,8.100000381469727,8.100000381469727,8.699999809265137
"05000US31047","Dawson County, NE",7.355000019073486,7.199999809265137,7.400000095367432,7.5,8.199999809265137
"05000US06053","Monterey County, CA",7.578000068664551,7.599999904632568,8,8.199999809265137,8.699999809265137
"05000US54023","Grant County, WV",7.589000225067139,7.199999809265137,7.199999809265137,7.199999809265137,7.400000095367432
"05000US31045","Dawes County, NE",7.203999996185303,6.900000095367432,6.900000095367432,7.099999904632568,7.400000095367432
"05000US38069","Pierce County, ND",8.791999816894531,8.800000190734863,8.399999618530273,8.5,8.600000381469727
"05000US06055","Napa County, CA",8.404999732971191,8.300000190734863,8.399999618530273,8.5,8.800000190734863
"05000US54021","Gilmer County, WV",7.451000213623047,7.199999809265137,7.300000190734863,7,7.400000095367432
"05000US31043","Dakota County, NE",7.889999866485596,7.699999809265137,8,8.199999809265137,8.600000381469727
"05000US06057","Nevada County, CA",8.005999565124512,7.599999904632568,7.300000190734863,7.400000095367432,7.599999904632568
"05000US38071","Ramsey County, ND",8.970999717712402,8.699999809265137,8.5,8.399999618530273,9
"05000US31041","Custer County, NE",7.373000144958496,7.099999904632568,6.699999809265137,6.599999904632568,7
"05000US06059","Orange County, CA",8.538999557495117,8.399999618530273,8.5,8.600000381469727,8.899999618530273
"05000US54019","Fayette County, WV",7.389999866485596,7.099999904632568,6.900000095367432,6.800000190734863,7.099999904632568
"05000US31039","Cuming County, NE",8.32800006866455,7.800000190734863,7.599999904632568,7.599999904632568,8.699999809265137
"05000US38073","Ransom County, ND",9.637999534606934,9.300000190734863,9.100000381469727,9.100000381469727,9.199999809265137
"05000US06061","Placer County, CA",8.446000099182129,8.199999809265137,7.900000095367432,8.100000381469727,8.300000190734863
"05000US54017","Doddridge County, WV",8.315999984741211,8.100000381469727,8.100000381469727,8.300000190734863,8.5
"05000US31037","Colfax County, NE",8.574000358581543,8.399999618530273,8.800000190734863,9,9.300000190734863
"05000US06063","Plumas County, CA",7.4770002365112305,7.099999904632568,6.900000095367432,7,7.400000095367432
"05000US38075","Renville County, ND",7.9770002365112305,7.900000095367432,7.699999809265137,7.5,8.699999809265137
"05000US31035","Clay County, NE",7.752999782562256,7.400000095367432,7.199999809265137,7.199999809265137,7.599999904632568
"05000US06065","Riverside County, CA",7.401000022888184,7.400000095367432,7.699999809265137,7.900000095367432,8.300000190734863
"05000US54015","Clay County, WV",6.9019999504089355,6.599999904632568,6.599999904632568,6.699999809265137,6.599999904632568
"05000US31033","Cheyenne County, NE",8.435999870300293,8.100000381469727,7.800000190734863,8,8.100000381469727
"05000US38077","Richland County, ND",8.468999862670898,8.199999809265137,8.100000381469727,8.100000381469727,8.800000190734863
"05000US06067","Sacramento County, CA",7.3429999351501465,7,7,7.099999904632568,7.400000095367432
"05000US54013","Calhoun County, WV",6.4079999923706055,6.199999809265137,6.199999809265137,6.099999904632568,7.099999904632568
"05000US31031","Cherry County, NE",7.724999904632568,7.300000190734863,6.900000095367432,6.900000095367432,7.099999904632568
"05000US06069","San Benito County, CA",7.672999858856201,7.900000095367432,8.5,8.800000190734863,9.399999618530273
"05000US38079","Rolette County, ND",7.421000003814697,7.300000190734863,6.900000095367432,7,7.300000190734863
"05000US31029","Chase County, NE",8.206000328063965,7.900000095367432,7.699999809265137,7.800000190734863,8.100000381469727
"05000US06071","San Bernardino County, CA",7.109000205993652,7,7.5,7.599999904632568,8.100000381469727
"05000US54011","Cabell County, WV",7.616000175476074,7.199999809265137,7.199999809265137,7.099999904632568,7.400000095367432
"05000US31027","Cedar County, NE",7.952000141143799,7.5,7.300000190734863,7.300000190734863,8.399999618530273
"05000US38081","Sargent County, ND",9.59000015258789,9.300000190734863,9.199999809265137,9.199999809265137,9.5
"05000US06073","San Diego County, CA",7.8979997634887695,7.699999809265137,7.800000190734863,7.900000095367432,8.300000190734863
"05000US54009","Brooke County, WV",7.642000198364258,7.400000095367432,7.300000190734863,7.400000095367432,7.699999809265137
"05000US31025","Cass County, NE",8.71399974822998,8.399999618530273,8.100000381469727,8.199999809265137,8.5
"05000US06075","San Francisco County, CA",7.718999862670898,7.400000095367432,7.300000190734863,7.5,7.800000190734863
"05000US38083","Sheridan County, ND",6.124000072479248,5.900000095367432,5.800000190734863,5.800000190734863,7.199999809265137
"05000US31023","Butler County, NE",8.741999626159668,8.300000190734863,8.100000381469727,8.100000381469727,8.300000190734863
"05000US06077","San Joaquin County, CA",6.9120001792907715,6.900000095367432,7.199999809265137,7.300000190734863,7.800000190734863
"05000US54007","Braxton County, WV",7.051000118255615,6.699999809265137,6.599999904632568,6.5,7
"05000US31021","Burt County, NE",7.48799991607666,7.300000190734863,6.900000095367432,6.900000095367432,8.699999809265137
